bundle,family,stage,model,state,n_dwell_segments,mean_dwell_windows,median_dwell_windows,p90_dwell_windows,max_dwell_windows,physical_dt,mean_dwell_physical,median_dwell_physical,source_file
pipeline,z_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,0,181,5.502762430939226,7.0,7.0,7.0,nan,nan,nan,pipeline\pipeline\z_loop\04_hsmm_using_cnn_embeddings\20260505_103411_hsmm_together_z_loop_family\hsmm_predictions.npz
pipeline,z_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,1,116,4.387931034482759,4.0,7.0,7.0,nan,nan,nan,pipeline\pipeline\z_loop\04_hsmm_using_cnn_embeddings\20260505_103411_hsmm_together_z_loop_family\hsmm_predictions.npz
pipeline,z_loop,05_dmm,dmm,0,1589,5.0994336060415355,7.0,7.0,7.0,nan,nan,nan,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz
pipeline,z_loop,05_dmm,dmm,1,1419,4.871035940803383,7.0,7.0,7.0,nan,nan,nan,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz
individual,parity,cthmm,gpu_cthmm,0,3692,122.0,1.0,1.0,446733.0,nan,nan,nan,individual\individual\parity\cthmm\20260504_230557_cthmm_together_parity_run\teacher_predictions.npz
individual,parity,cthmm,gpu_cthmm,1,3692,68.0,68.0,135.0,135.0,nan,nan,nan,individual\individual\parity\cthmm\20260504_230557_cthmm_together_parity_run\teacher_predictions.npz
individual,parity,hsmm,gpu_hsmm_duration,0,47080,1.4097068819031435,1.0,2.0,2.0,nan,nan,nan,individual\individual\parity\hsmm\20260504_233338_hsmm_together_parity_run\hsmm_predictions.npz
individual,parity,hsmm,gpu_hsmm_duration,1,19930,1.949372804816859,2.0,2.0,2.0,nan,nan,nan,individual\individual\parity\hsmm\20260504_233338_hsmm_together_parity_run\hsmm_predictions.npz
individual,x_loop,cthmm,gpu_cthmm,0,7697,12.205664544627776,3.0,35.0,301.0,nan,nan,nan,individual\individual\x_loop\cthmm\20260505_014342_cthmm_together_x_loop_run\teacher_predictions.npz
individual,x_loop,cthmm,gpu_cthmm,1,7696,11.96114864864865,3.0,32.0,585.0,nan,nan,nan,individual\individual\x_loop\cthmm\20260505_014342_cthmm_together_x_loop_run\teacher_predictions.npz
individual,x_loop,hsmm,gpu_hsmm_duration,0,1316,6.7522796352583585,3.0,23.0,30.0,nan,nan,nan,individual\individual\x_loop\hsmm\20260505_015629_hsmm_together_x_loop_run\hsmm_predictions.npz
individual,x_loop,hsmm,gpu_hsmm_duration,1,1658,11.468033775633293,5.0,30.0,30.0,nan,nan,nan,individual\individual\x_loop\hsmm\20260505_015629_hsmm_together_x_loop_run\hsmm_predictions.npz
individual,z_loop,cthmm,gpu_cthmm,0,575,15.91304347826087,3.0,50.0,61.0,nan,nan,nan,individual\individual\z_loop\cthmm\20260505_024243_cthmm_together_z_loop_run\teacher_predictions.npz
individual,z_loop,cthmm,gpu_cthmm,1,574,10.217770034843205,4.0,37.0,51.0,nan,nan,nan,individual\individual\z_loop\cthmm\20260505_024243_cthmm_together_z_loop_run\teacher_predictions.npz
individual,z_loop,hsmm,gpu_hsmm_duration,0,269,5.330855018587361,7.0,7.0,7.0,nan,nan,nan,individual\individual\z_loop\hsmm\20260505_024835_hsmm_together_z_loop_run\hsmm_predictions.npz
individual,z_loop,hsmm,gpu_hsmm_duration,1,191,4.293193717277487,4.0,7.0,7.0,nan,nan,nan,individual\individual\z_loop\hsmm\20260505_024835_hsmm_together_z_loop_run\hsmm_predictions.npz
