bundle,family,n_cthmm_lifetime_rows,n_prediction_models,n_within_bundle_agreements,mean_prediction_confidence,mean_prediction_entropy_bits,mean_within_bundle_agreement,mean_cross_bundle_same_model_agreement,cthmm_tau_mean_model_units
pipeline,parity,1,5,10,0.8555588513673925,0.3238705185601791,0.8251805392644351,0.9999786245618035,0.30002791195450584
pipeline,x_loop,1,5,10,0.5548632524110457,0.9772567703484698,0.5399424731182796,0.996268817204301,2.6880427429349234e-06
pipeline,z_loop,1,5,10,0.6804872292232561,0.8195175897580931,0.7385239566634916,0.9987345987345988,0.0004495469693528764
individual,parity,1,2,1,0.9969087212345698,0.010640048179179839,0.9852879680669074,0.9999786245618035,0.3027258241408218
individual,x_loop,1,2,1,0.6067596157116275,0.9494393248064302,0.8024372759856631,0.996268817204301,2.687289111045283e-06
individual,z_loop,1,2,1,0.8092754019485725,0.6176353367632785,0.9614019520851819,0.9987345987345988,0.0004486101721529235
