bundle,family,stage,model,bin,n_bin_predictions,sample_index_min,sample_index_max,source_file,state_0_occupancy,state_1_occupancy,mean_confidence,mean_entropy_bits,switch_rate
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,1,70148,10764,159349,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.08827051377088442,0.9117294862291155,0.9057137200977088,0.32476905682914237,0.1274466477540023
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,2,70148,17940,222179,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.11800764098762616,0.8819923590123738,0.886322622280637,0.38277855608962646,0.16234479022623918
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,3,70148,25116,310413,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.40528596681302387,0.5947140331869761,0.866757584353493,0.4400173880139531,0.1814760431664932
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,4,70148,261924,373151,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.86551291554998,0.13448708445001994,0.8694303067999133,0.43836134721502296,0.14019131252940253
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,5,70148,269100,436349,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.8893910018817358,0.11060899811826425,0.8805774608677412,0.40775288692783357,0.1224286141959029
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,6,70148,276276,502319,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.9095768945657752,0.09042310543422478,0.8925408846487605,0.37250731068949156,0.103382895918571
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,7,70148,279864,580943,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.9650595882990249,0.03494041170097508,0.9639452414154538,0.12547575916179246,0.03780632101158995
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,8,70148,517608,644695,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.9994012658949649,0.0005987341050350687,0.9977550134551344,0.011093115873197506,0.001197485280910089
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,9,70148,523126,701479,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.9992444545817415,0.0007555454182585391,0.9974216685542809,0.013031252863549359,0.0013970661610617702
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,0,7018,72,96865,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,0.0,1.0,nan,nan,0.0
