bundle,family,stage,model,source_file,metric,n_bins,mean_across_bins,min_bin_value,max_bin_value,range_max_minus_min,std_across_bins,relative_range_over_mean_abs
individual,z_loop,cthmm,gpu_cthmm,individual\individual\z_loop\cthmm\20260505_024243_cthmm_together_z_loop_run\teacher_predictions.npz,switch_rate,20,0.34691820204717405,0.30133333333333334,0.38985313751668893,0.08851980418335559,0.020310057472107464,0.2551604489502071
individual,z_loop,hsmm,gpu_hsmm_duration,individual\individual\z_loop\hsmm\20260505_024835_hsmm_together_z_loop_run\hsmm_predictions.npz,state_0_occupancy,20,0.6284682120056877,0.3069306930693069,0.8628571428571429,0.555926449787836,0.14976375338647374,0.8845736970747612
individual,z_loop,hsmm,gpu_hsmm_duration,individual\individual\z_loop\hsmm\20260505_024835_hsmm_together_z_loop_run\hsmm_predictions.npz,state_1_occupancy,20,0.3715317879943122,0.13714285714285715,0.693069306930693,0.5559264497878359,0.14976375338647374,1.4963092466164607
individual,z_loop,hsmm,gpu_hsmm_duration,individual\individual\z_loop\hsmm\20260505_024835_hsmm_together_z_loop_run\hsmm_predictions.npz,switch_rate,20,0.11899929944805498,0.057971014492753624,0.20666666666666667,0.14869565217391303,0.04782970666862179,1.2495506516727097
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,state_0_occupancy,20,0.6421052631578947,0.0144836631122769,1.0,0.9855163368877231,0.4759492669735072,1.534820524661208
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,state_1_occupancy,20,0.35789473684210527,0.0,0.9855163368877231,0.9855163368877231,0.4759492669735072,2.753648588362756
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,mean_confidence,20,0.9969078841358178,0.9917744811920196,0.9999999924631751,0.00822551127115545,0.003871891626196566,0.008251024394581691
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,mean_entropy_bits,20,0.010645950289736548,1.0811194669851972e-07,0.027280103705400106,0.02727999559345341,0.012326514619858404,2.562476326773126
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,switch_rate,20,0.02354375160379779,0.0,0.2697516608217147,0.2697516608217147,0.059585682550792905,11.457462912503786
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,state_0_occupancy,20,0.999998574442607,0.9999714888521412,1.0,2.851114785884512e-05,6.375286472892527e-06,2.8511188503180674e-05
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,state_1_occupancy,20,1.4255573929406398e-06,0.0,2.8511147858812794e-05,2.8511147858812794e-05,6.375286472885298e-06,20.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,mean_confidence,20,0.5089039999702547,0.5073673185399737,0.5107068140347545,0.003339495494780742,0.0008620887741977017,0.0065621325337901345
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,mean_entropy_bits,20,0.9997657004001995,0.99966735957043,0.9998375996612894,0.00017024009085941927,4.377608681661228e-05,0.00017027998739231932
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,switch_rate,20,2.851196076754198e-06,0.0,5.7023921535083966e-05,5.7023921535083966e-05,1.2750936489606193e-05,20.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,state_0_occupancy,20,0.6320151679306609,0.08005930318754632,0.9996578662256942,0.9195985630381479,0.40718676135289567,1.4550260969987323
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,state_1_occupancy,20,0.3679848320693392,0.0003421337743057536,0.9199406968124537,0.9195985630381479,0.4071867613528957,2.49901214098104
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,mean_confidence,20,0.917132571272481,0.8441758121868805,0.9981958319525385,0.15402001976565793,0.0520612353620643,0.16793648441899947
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,mean_entropy_bits,20,0.2823299827031339,0.009435876872478125,0.5039525653349365,0.4945166884624584,0.1726855136757071,1.7515556928377525
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,switch_rate,20,0.09878966726541784,0.0005702392153508396,0.20260599321415335,0.2020357539988025,0.066433846421638,2.0451101779297804
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,state_0_occupancy,20,0.6276881486478945,0.0,1.0,1.0,0.4769421758369564,1.5931478109856048
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,state_1_occupancy,20,0.37231185135210554,0.0,1.0,1.0,0.4769421758369564,2.6859204088410085
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,switch_rate,20,0.013188639161307789,0.0,0.2288111888111888,0.2288111888111888,0.051338800919255134,17.349112824503102
pipeline,parity,05_dmm,dmm,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,state_0_occupancy,20,0.6369148086901978,5.702229571762559e-05,1.0,0.9999429777042824,0.48194212270204245,1.5699791621435912
pipeline,parity,05_dmm,dmm,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,state_1_occupancy,20,0.3630851913098021,0.0,0.9999429777042824,0.9999429777042824,0.48194212270204245,2.7540175188557385
pipeline,parity,05_dmm,dmm,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,mean_confidence,20,0.999290950091017,0.9934824846139851,1.0,0.0065175153860148605,0.001425714441837294,0.006522139908723515
pipeline,parity,05_dmm,dmm,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,mean_entropy_bits,20,0.002740440847646624,4.1305960435927445e-11,0.023708223191168727,0.023708223149862765,0.00518482573194479,8.651244258828791
