epoch,train_loss,train_acc,train_f1_macro,train_cls_loss,train_recon_loss,train_kl_loss,train_distill_loss,train_teacher_count,epoch_time_sec,lr,batch_size,train_samples_this_epoch,train_steps_this_epoch,val_loss,val_acc,val_f1_macro,val_teacher_argmax_accuracy,val_distill_loss,val_teacher_count
1,0.10292426010562201,nan,nan,0.0,0.29189936197915317,2.9949419892440408,0.0,0,123.59922671318054,0.0003,128,30208,236,0.03696954722425933,nan,nan,nan,0.0,0
2,0.049585769063461634,nan,nan,0.0,0.08092124682803781,2.9355458091881315,0.0,0,117.52039694786072,0.0003,128,30208,236,0.029773819061827186,nan,nan,nan,0.0,0
3,0.04235778714261823,nan,nan,0.0,0.05853144082603818,2.7724927391036083,0.0,0,117.01452875137329,0.0003,128,30208,236,0.028819361609150863,nan,nan,nan,0.0,0
4,0.04103930902241145,nan,nan,0.0,0.05448719180362709,2.741751160662053,0.0,0,117.34736204147339,0.0003,128,30208,236,0.028615858020891817,nan,nan,nan,0.0,0
5,0.04043589207201691,nan,nan,0.0,0.052460389795823625,2.7320795150126442,0.0,0,116.62337279319763,0.0003,128,30208,236,0.028724168846696384,nan,nan,nan,0.0,0
6,0.04006384846643876,nan,nan,0.0,0.051197180082484826,2.7264553904533386,0.0,0,117.69746589660645,0.0003,128,30208,236,0.028411492281384503,nan,nan,nan,0.0,0
7,0.03984318384742838,nan,nan,0.0,0.0504112667009487,2.7240367774236,0.0,0,116.46585369110107,0.0003,128,30208,236,0.028557900846977083,nan,nan,nan,0.0,0
8,0.039691300447083126,nan,nan,0.0,0.04981502012933715,2.7237546100454817,0.0,0,116.9053544998169,0.0003,128,30208,236,0.028333473894690077,nan,nan,nan,0.0,0
9,0.03954892581865444,nan,nan,0.0,0.04936446505204096,2.7207810222092323,0.0,0,116.7250599861145,0.0003,128,30208,236,0.028559223942612726,nan,nan,nan,0.0,0
10,0.03943141491420693,nan,nan,0.0,0.04896760490423037,2.7189514354123907,0.0,0,117.06795835494995,0.0003,128,30208,236,0.028290363904884226,nan,nan,nan,0.0,0
11,0.03935871102799803,nan,nan,0.0,0.04867012265248824,2.71911808595819,0.0,0,117.94333982467651,0.0003,128,30208,236,0.028162870791460792,nan,nan,nan,0.0,0
12,0.039295775421216324,nan,nan,0.0,0.04841976694888988,2.7190834223213844,0.0,0,117.44978713989258,0.0003,128,30208,236,0.02822098553715023,nan,nan,nan,0.0,0
13,0.03922210242283546,nan,nan,0.0,0.048175430683008696,2.717824521711317,0.0,0,118.31631684303284,0.0003,128,30208,236,0.02826412197691745,nan,nan,nan,0.0,0
14,0.03918935505326016,nan,nan,0.0,0.048005469443308094,2.7187988343885388,0.0,0,116.92056679725647,0.00015,128,30208,236,0.028249249407201565,nan,nan,nan,0.0,0
15,0.03908756095916033,nan,nan,0.0,0.04779636267951484,2.7138470916424766,0.0,0,117.2522439956665,0.00015,128,30208,236,0.02815039000770849,nan,nan,nan,0.0,0
16,0.039063037073208115,nan,nan,0.0,0.04768919799540002,2.7140738095267345,0.0,0,117.49781131744385,0.00015,128,30208,236,0.028192294625755027,nan,nan,nan,0.0,0
17,0.039042862732026534,nan,nan,0.0,0.047601179582840304,2.7142568584215843,0.0,0,118.41439962387085,0.00015,128,30208,236,0.02815568762026645,nan,nan,nan,0.0,0
18,0.03904186424373065,nan,nan,0.0,0.04752870729603505,2.715968803834107,0.0,0,116.69846868515015,7.5e-05,128,30208,236,0.02816291181288065,nan,nan,nan,0.0,0
19,0.03900283908124192,nan,nan,0.0,0.04742644934015254,2.714622725874691,0.0,0,116.6297652721405,7.5e-05,128,30208,236,0.02817477035107806,nan,nan,nan,0.0,0
